Ain el hadjel:752.1:351.4
Ain El khadra:713.6:416.6
Ain el Melh:323.5:171.9
Ain errich:117.5:63.9
Ain fares:561.7:267.0
Belaiba:568.1:276.4
Ben Srour:566.8:719.4
Beni Ilmane:415.9:244.4
Benzouh:1179.4:440.0
Berhoum:162.6:79.7
Bir foda:198.1:32.4
Bou saada:413.9:271.9
Bouti sayeh:556.8:293.2
Chellal:1189.4:1717.2
Dehahna:132.8:260.3
Dj.Messaad:30.7:102.3
El hamel:96.6:58.3
El houamed:584.6:879.1
H.Dalaa:235.7:94.4
K Ced El djir:1588.9:919.5
Khoubana:1403.7:888.3
Maadid:122.0:105.8
Maarif:1649.0:729.2
Magra:453.1:266.6
M'cif:3155.6:868.5
Med boudiaf:1618.2:653.6
Medjedel:36.1:106.0
Menaa:0.0:8.8
Metarfa:515.1:549.3
M'sila:478.8:243.1
O.A.l'guebala:513.9:177.9
O.Mansour:827.4:367.5
O.Sidi brahim:906.6:653.2
Ouanougha:149.0:99.2
Ouled Derradj:839.2:256.8
Ouled Madhi:993.0:672.4
Ouled Sliman:196.9:192.9
Oultem:1043.4:223.7
Sidi Aissa:335.8:149.8
Sidi ameur:865.0:335.7
Sidi hadjeres:1472.8:553.9
Sidi M'hamed:231.7:319.6
Slim:126.6:137.9
Souamaa:272.6:411.1
Tamsa:358.6:155.0
Tarmount:405.1:253.1
Zarzour:211.7:129.8
